period_cost,holding,stockout,order,demand,inventory,cumulative_cost
28.200000000000003,8.700000000000001,0.0,39,52,87,28.200000000000003
27.9,8.4,0.0,39,42,84,56.1
24.8,6.300000000000001,0.0,37,58,63,80.9
24.7,5.2,0.0,39,50,52,105.60000000000001
22.8,3.3000000000000003,0.0,39,58,33,128.4
21.3,1.8,0.0,39,54,18,149.70000000000002
26.0,0.0,14.0,24,56,0,175.70000000000002
39.5,0.0,20.0,39,59,0,215.20000000000002
41.5,0.0,23.0,37,60,0,256.70000000000005
43.5,0.0,24.0,39,63,0,300.20000000000005
51.5,0.0,33.0,37,70,0,351.70000000000005
46.5,0.0,28.0,37,65,0,398.20000000000005
51.5,0.0,33.0,37,70,0,449.70000000000005
48.5,0.0,30.0,37,67,0,498.20000000000005
65.0,0.0,53.0,24,77,0,563.2
46.5,0.0,28.0,37,65,0,609.7
68.0,0.0,56.0,24,80,0,677.7
49.5,0.0,30.0,39,69,0,727.2
49.0,0.0,37.0,24,61,0,776.2
57.0,0.0,45.0,24,69,0,833.2
51.0,0.0,39.0,24,63,0,884.2
51.5,0.0,32.0,39,71,0,935.7
41.5,0.0,23.0,37,60,0,977.2
47.0,0.0,35.0,24,59,0,1024.2
36.0,0.0,24.0,24,48,0,1060.2
43.0,0.0,31.0,24,55,0,1103.2
21.5,0.0,2.0,39,41,0,1124.7
25.5,0.0,7.0,37,44,0,1150.2
37.0,0.0,17.0,40,57,0,1187.2
36.5,0.0,17.0,39,56,0,1223.7
33.5,0.0,14.0,39,53,0,1257.2
32.0,0.0,20.0,24,44,0,1289.2
38.0,0.0,26.0,24,50,0,1327.2
31.5,0.0,13.0,37,50,0,1358.7
25.5,0.0,7.0,37,44,0,1384.2
41.5,0.0,22.0,39,61,0,1425.7
39.5,0.0,20.0,39,59,0,1465.2
35.5,0.0,17.0,37,54,0,1500.7
39.5,0.0,21.0,37,58,0,1540.2
49.0,0.0,37.0,24,61,0,1589.2
31.5,0.0,13.0,37,50,0,1620.7
